iter	Logloss
0	0.6630482096
1	0.6354751633
2	0.6114803206
3	0.5901375524
4	0.5707702933
5	0.5527232726
6	0.536429145
7	0.5220926458
8	0.5083791897
9	0.4967991051
10	0.4868675479
11	0.4775110058
12	0.4689249227
13	0.4608474477
14	0.4539704896
15	0.4471499413
16	0.4413839299
17	0.435809567
18	0.430416513
19	0.4258148103
20	0.4215446538
21	0.4173961395
22	0.4137766744
23	0.4106278518
24	0.4076905391
25	0.4044222439
26	0.4019144331
27	0.3994155268
28	0.3971595177
29	0.395315427
30	0.3934129592
31	0.3916943719
32	0.389990749
33	0.3884341011
34	0.3869698769
35	0.3856513349
36	0.3844019958
37	0.3830848737
38	0.3817704877
39	0.3807900834
40	0.3799946259
41	0.3789761028
42	0.3780850308
43	0.3771960158
44	0.3763665165
45	0.3754635355
46	0.3746825206
47	0.3739998972
48	0.3734523264
49	0.3728401816
50	0.3722697683
51	0.3717220163
52	0.3711604698
53	0.3706528603
54	0.3701923251
55	0.3696371285
56	0.3692003816
57	0.3687805502
58	0.3684225602
59	0.3679821432
60	0.367568761
61	0.367244371
62	0.3668590372
63	0.3664075645
64	0.3660813639
65	0.3657493351
66	0.3653903154
67	0.365082666
68	0.3647290027
69	0.3643987315
70	0.3640647181
71	0.363722994
72	0.3633668613
73	0.3631426839
74	0.3628987234
75	0.3626910465
76	0.362391517
77	0.3621273402
78	0.3618784309
79	0.3616740935
80	0.3613998338
81	0.361186725
82	0.3609648869
83	0.3607462159
84	0.3605391203
85	0.3603142011
86	0.3600198954
87	0.3598029165
88	0.3594962946
89	0.3592481166
90	0.3589958512
91	0.3587755319
92	0.3585921204
93	0.3583870267
94	0.3581272767
95	0.3578997649
96	0.3577135763
97	0.3575586122
98	0.3573372267
99	0.3571084841
100	0.3568463432
101	0.3566079314
102	0.3564037246
103	0.3562227558
104	0.3560673626
105	0.3558554813
106	0.3557333595
107	0.355564613
108	0.3553912043
109	0.3552151133
110	0.3550581866
111	0.3548984004
112	0.3547328985
113	0.3545871376
114	0.354401823
115	0.3542357944
116	0.3539941199
117	0.3538699918
118	0.3536427462
119	0.3535167164
120	0.3533696039
121	0.3532386866
122	0.3531260671
123	0.3529780631
124	0.3528610381
125	0.3527559008
126	0.3526390007
127	0.3524752121
128	0.3523216927
129	0.3522074927
130	0.352112501
131	0.3519890186
132	0.3518329625
133	0.3516944524
134	0.3515290069
135	0.3513884892
136	0.3512494146
137	0.3510875568
138	0.3509470813
139	0.3507707928
140	0.3506871594
141	0.3505869116
142	0.35044311
143	0.3503209467
144	0.3501868836
145	0.3500761049
146	0.3499344738
147	0.3498351879
148	0.349741482
149	0.3496232916
150	0.349499201
151	0.3493619137
152	0.3491834512
153	0.3490788374
154	0.3489646417
155	0.348859837
156	0.3487426766
157	0.3486055892
158	0.3484698548
159	0.3483544847
160	0.348244999
161	0.3481119573
162	0.3480060518
163	0.3478935751
164	0.3477871988
165	0.3476461175
166	0.3475411193
167	0.3474449089
168	0.347363082
169	0.3472753236
170	0.3471320261
171	0.3470312867
172	0.346907523
173	0.3467954595
174	0.3466842919
175	0.3465545447
176	0.3463922544
177	0.34629931
178	0.3461997842
179	0.3461053206
180	0.3460049684
181	0.3459055756
182	0.3458017229
183	0.3456821422
184	0.3455864451
185	0.3454682459
186	0.34536638
187	0.3452626745
188	0.3451773193
189	0.3450756203
190	0.3449512653
191	0.3448419783
192	0.3447056242
193	0.3446156877
194	0.3445044986
195	0.3443887283
196	0.3442997146
197	0.3442068692
198	0.3441301069
199	0.3440408395
200	0.3439599828
201	0.3438074021
202	0.3437171265
203	0.3436237158
204	0.3435376653
205	0.3434431795
206	0.3433456297
207	0.3432534161
208	0.3431756617
209	0.3430626361
210	0.3429916777
211	0.3429063947
212	0.3428397397
213	0.3427007986
214	0.3425878659
215	0.3424802841
216	0.3423968413
217	0.3422848864
218	0.3422080127
219	0.3421133292
220	0.342004596
221	0.3419057225
222	0.3418162288
223	0.3417306593
224	0.3416685414
225	0.3415627671
226	0.3414705215
227	0.3413777083
228	0.3412776725
229	0.3411801176
230	0.3410905954
231	0.3410002524
232	0.3409206493
233	0.3408313102
234	0.3407409591
235	0.340650736
236	0.3405875001
237	0.3404938824
238	0.3403932356
239	0.3403231984
240	0.3402624045
241	0.3401981128
242	0.3401337528
243	0.3400734669
244	0.3400082051
245	0.3398918675
246	0.3398584722
247	0.3397487916
248	0.3396605171
249	0.3395685069
250	0.3394870583
251	0.3394004367
252	0.3392978726
253	0.3392117917
254	0.3391313159
255	0.339046025
256	0.3389732299
257	0.3388805569
258	0.3388024002
259	0.3387240035
260	0.3386165168
261	0.3385493839
262	0.3384852203
263	0.3383999592
264	0.3383273657
265	0.3382682197
266	0.3381799929
267	0.33809614
268	0.3380053724
269	0.3379321522
270	0.3378478173
271	0.3377657023
272	0.3376815354
273	0.3375955362
274	0.3374917407
275	0.3374123096
276	0.3373059523
277	0.337239978
278	0.3371325479
279	0.3370231789
280	0.3369745355
281	0.3368778791
282	0.336788985
283	0.3367157218
284	0.3366509449
285	0.3365697491
286	0.3365172749
287	0.3364395737
288	0.3363653188
289	0.3362582618
290	0.336185494
291	0.3360846007
292	0.3360003059
293	0.335908344
294	0.3358282858
295	0.3357282125
296	0.3356489104
297	0.3355909617
298	0.3355075932
299	0.3354338155
300	0.3353465208
301	0.3352595048
302	0.3351810425
303	0.3351015214
304	0.3350182318
305	0.3349511753
306	0.334873422
307	0.3347821277
308	0.3346766438
309	0.3345994523
310	0.3345227438
311	0.3344304039
312	0.3343571494
313	0.3342651239
314	0.3341810153
315	0.3340853279
316	0.3339967058
317	0.3339145656
318	0.3338285182
319	0.3337430483
320	0.333676816
321	0.3336005604
322	0.3335216408
323	0.3334358439
324	0.3333513464
325	0.3332934241
326	0.3332268273
327	0.3331613845
328	0.3330908304
329	0.3330130904
330	0.3329486134
331	0.332857636
332	0.3327955451
333	0.332696759
334	0.3326188815
335	0.3325533614
336	0.3324720026
337	0.3323828228
338	0.3322954731
339	0.3322044945
340	0.3321341955
341	0.3320537904
342	0.3319734751
