iter	Passed	Remaining
0	169	337874
1	188	188027
2	209	139155
3	229	114324
4	253	101063
5	274	91153
6	295	84249
7	319	79535
8	343	76089
9	367	73141
10	390	70675
11	413	68438
12	434	66484
13	460	65312
14	482	63911
15	504	62514
16	526	61462
17	550	60622
18	572	59643
19	595	58972
20	617	58206
21	639	57465
22	661	56872
23	685	56460
24	708	56000
25	732	55606
26	756	55268
27	777	54764
28	801	54440
29	824	54115
30	848	53883
31	870	53535
32	895	53347
33	919	53169
34	942	52912
35	966	52705
36	990	52546
37	1013	52334
38	1035	52057
39	1057	51796
40	1079	51579
41	1101	51370
42	1124	51159
43	1147	50996
44	1170	50852
45	1194	50730
46	1226	50973
47	1248	50780
48	1272	50672
49	1296	50571
50	1320	50480
51	1346	50455
52	1371	50370
53	1394	50259
54	1421	50262
55	1446	50221
56	1470	50138
57	1495	50066
58	1518	49945
59	1542	49877
60	1564	49726
61	1585	49568
62	1609	49499
63	1633	49400
64	1657	49332
65	1681	49276
66	1706	49229
67	1729	49142
68	1752	49049
69	1774	48932
70	1798	48862
71	1821	48787
72	1845	48718
73	1868	48634
74	1890	48533
75	1914	48460
76	1937	48384
77	1960	48306
78	1982	48214
79	2005	48127
80	2028	48066
81	2052	47998
82	2073	47899
83	2097	47832
84	2123	47843
85	2148	47822
86	2171	47749
87	2194	47688
88	2216	47597
89	2238	47507
90	2261	47444
91	2285	47396
92	2309	47362
93	2334	47333
94	2357	47277
95	2382	47249
96	2405	47184
97	2427	47111
98	2450	47046
99	2472	46972
100	2494	46908
101	2516	46828
102	2539	46777
103	2561	46706
104	2584	46650
105	2608	46611
106	2632	46572
107	2654	46503
108	2678	46471
109	2700	46405
110	2724	46360
111	2746	46295
112	2767	46218
113	2790	46173
114	2814	46128
115	2837	46084
116	2863	46089
117	2891	46115
118	2922	46188
119	2947	46179
120	2972	46153
121	2996	46130
122	3018	46061
123	3041	46009
124	3064	45962
125	3102	46136
126	3213	47393
127	3246	47485
128	3278	47557
129	3316	47709
130	3345	47727
131	3376	47781
132	3405	47798
133	3435	47842
134	3462	47827
135	3489	47830
136	3517	47838
137	3543	47808
138	3571	47815
139	3602	47857
140	3628	47837
141	3654	47819
142	3678	47764
143	3702	47715
144	3726	47669
145	3749	47613
146	3773	47567
147	3797	47515
148	3819	47449
149	3842	47394
150	3865	47335
151	3887	47269
152	3910	47205
153	3933	47148
154	3958	47118
155	3982	47078
156	4005	47018
157	4029	46981
158	4053	46938
159	4076	46882
160	4099	46827
161	4122	46773
162	4148	46758
163	4174	46730
164	4196	46664
165	4218	46605
166	4239	46530
167	4262	46486
168	4284	46419
169	4307	46372
170	4330	46322
171	4353	46267
172	4376	46220
173	4398	46163
174	4422	46124
175	4445	46069
176	4468	46025
177	4492	45982
178	4515	45942
179	4538	45885
180	4560	45836
181	4582	45771
182	4604	45719
183	4628	45679
184	4651	45637
185	4675	45602
186	4699	45559
187	4721	45507
188	4743	45455
189	4767	45412
190	4789	45361
191	4812	45314
192	4836	45282
193	4858	45226
194	4882	45191
195	4905	45148
196	4930	45121
197	4951	45067
198	4976	45037
199	4998	44982
200	5021	44942
201	5043	44895
202	5067	44860
203	5091	44821
204	5113	44771
205	5136	44733
206	5158	44679
207	5182	44650
208	5205	44605
209	5228	44566
210	5250	44516
211	5274	44480
212	5298	44448
213	5321	44414
214	5345	44378
215	5366	44323
216	5391	44296
217	5415	44266
218	5437	44220
219	5461	44188
220	5484	44151
221	5506	44103
222	5530	44068
223	5551	44019
224	5574	43977
225	5598	43941
226	5622	43914
227	5647	43892
228	5670	43855
229	5693	43813
230	5716	43777
231	5739	43736
232	5762	43700
233	5786	43673
234	5810	43640
235	5832	43598
236	5856	43562
237	5878	43523
238	5901	43486
239	5924	43443
240	5947	43409
241	5971	43380
242	6002	43401
243	6025	43362
244	6047	43319
245	6069	43276
246	6090	43226
247	6114	43195
248	6137	43162
249	6161	43128
250	6187	43115
251	6212	43096
252	6236	43063
253	6259	43028
254	6284	43004
255	6308	42974
256	6329	42928
257	6352	42892
258	6375	42858
259	6399	42825
260	6422	42791
261	6445	42757
262	6468	42719
263	6492	42694
264	6515	42656
265	6537	42614
266	6560	42579
267	6582	42540
268	6604	42499
269	6627	42463
270	6649	42425
271	6672	42393
272	6695	42358
273	6718	42319
274	6740	42279
275	6763	42245
276	6787	42220
277	6810	42185
278	6834	42157
279	6857	42121
280	6880	42092
281	6904	42061
282	6926	42023
283	6949	41992
284	6971	41954
285	6994	41916
286	7016	41881
287	7039	41846
288	7060	41803
289	7083	41769
290	7106	41735
291	7128	41694
292	7151	41666
293	7174	41634
294	7198	41603
295	7219	41558
296	7242	41526
297	7264	41489
298	7288	41463
299	7310	41426
300	7334	41397
301	7355	41357
302	7378	41321
303	7401	41292
304	7424	41260
305	7446	41222
306	7468	41187
307	7492	41161
308	7518	41143
309	7542	41116
310	7564	41081
311	7588	41053
312	7611	41022
313	7634	40991
314	7657	40959
315	7680	40929
316	7703	40899
317	7727	40872
318	7749	40838
319	7773	40811
320	7796	40778
321	7818	40744
322	7840	40708
323	7865	40686
324	7887	40650
325	7910	40618
326	7932	40584
327	7956	40560
328	7980	40532
329	8002	40497
330	8025	40469
331	8049	40439
332	8071	40407
333	8095	40381
334	8118	40350
335	8140	40316
336	8164	40288
337	8185	40250
338	8213	40242
339	8238	40225
340	8268	40227
341	8292	40200
342	8318	40185
343	8341	40156
344	8364	40125
345	8388	40101
346	8412	40072
347	8435	40043
348	8458	40015
349	8482	39988
350	8505	39957
351	8527	39924
352	8549	39888
353	8572	39860
354	8596	39833
355	8618	39800
356	8642	39774
357	8664	39739
358	8686	39706
359	8711	39683
360	8732	39646
361	8756	39623
362	8778	39589
363	8801	39556
364	8824	39527
365	8846	39496
366	8870	39472
367	8893	39441
368	8915	39408
369	8943	39401
370	8967	39375
371	8989	39341
372	9012	39312
373	9035	39283
374	9058	39252
375	9083	39230
376	9106	39202
377	9131	39182
378	9156	39162
379	9179	39133
380	9203	39110
381	9227	39085
382	9251	39060
383	9274	39028
384	9299	39008
385	9330	39015
386	9360	39014
387	9388	39004
388	9445	39118
389	9497	39207
390	9532	39225
391	9569	39256
392	9602	39263
393	9634	39271
394	9665	39273
395	9705	39312
396	9741	39335
397	9769	39324
398	9794	39301
399	9818	39274
400	9841	39242
401	9865	39216
402	9894	39209
403	9944	39285
404	9992	39354
405	10043	39431
406	10101	39536
407	10162	39652
408	10252	39882
409	10361	40182
410	10404	40225
411	10438	40232
412	10467	40221
413	10500	40225
414	10531	40223
415	10561	40213
416	10587	40193
417	10613	40166
418	10636	40135
419	10660	40105
420	10684	40073
421	10710	40049
422	10733	40015
423	10758	39987
424	10783	39963
425	10810	39942
426	10835	39917
427	10861	39892
428	10884	39858
429	10909	39831
430	10933	39800
431	10957	39772
432	10981	39741
433	11004	39707
434	11027	39672
435	11050	39639
436	11073	39607
437	11097	39574
438	11122	39550
439	11149	39529
440	11175	39505
441	11200	39481
442	11248	39534
443	11288	39561
444	11347	39651
445	11373	39628
446	11400	39608
447	11430	39597
448	11457	39579
449	11486	39565
450	11516	39553
451	11538	39516
452	11568	39506
453	11624	39584
454	11668	39621
455	11710	39651
456	11769	39738
457	11825	39812
458	11882	39893
459	11940	39973
460	11976	39981
461	12000	39951
462	12024	39916
463	12050	39890
464	12078	39873
465	12105	39848
466	12131	39824
467	12160	39806
468	12187	39785
469	12217	39771
470	12247	39758
471	12271	39724
472	12294	39690
473	12320	39665
474	12348	39644
475	12373	39615
476	12403	39601
477	12425	39563
478	12449	39533
479	12473	39499
480	12497	39466
481	12520	39431
482	12545	39403
483	12569	39370
484	12594	39341
485	12619	39311
486	12644	39283
487	12669	39256
488	12693	39223
489	12718	39195
490	12744	39168
491	12768	39136
492	12836	39238
493	12921	39391
494	12981	39468
495	13035	39525
496	13064	39509
497	13090	39480
498	13114	39449
499	13138	39416
500	13163	39385
501	13187	39351
502	13210	39315
503	13234	39283
504	13265	39272
505	13296	39257
506	13322	39231
507	13372	39275
508	13428	39336
509	13480	39384
510	13540	39454
511	13619	39581
512	13672	39630
513	13723	39674
514	13779	39733
515	13830	39777
516	13867	39779
517	13890	39739
518	13914	39705
519	13942	39682
520	13966	39647
521	13990	39612
522	14013	39576
523	14037	39541
524	14061	39507
525	14084	39468
526	14109	39437
527	14133	39401
528	14157	39367
529	14183	39338
530	14207	39305
531	14233	39275
532	14256	39239
533	14279	39200
534	14302	39165
535	14326	39129
536	14354	39106
537	14380	39079
538	14403	39041
539	14425	39003
